Age.at.T04,Gender.T04,Religious.T04,Religion.Identification.T04,T4.MAORI.GME,T4.MAORI.VEM,Perc.Discrim.T04
26.94318959616701,0,1,6,7,2.2857142857142856,1
45.74948665297741,0,0,NA,6.125,5.714285714285714,1
50.03422313483915,0,0,NA,7,4.571428571428571,2
34.71321013004791,0,1,7,7,2.857142857142857,1
60.695414099931554,0,1,7,7,7,1
43.60301163586585,0,NA,NA,5,6.285714285714286,6
39.644079397672826,1,1,4,5.75,4.714285714285714,6
47.31553730321698,0,1,7,5.375,3.7142857142857144,1
33.719370294318956,0,0,NA,2.875,2.4285714285714284,1
53.02669404517454,0,1,6,6.25,4,4
55.07460643394935,0,1,5,6.375,5.857142857142857,4
52.50376454483231,0,1,5,5.375,6.142857142857143,2
45.63997262149213,0,0,NA,4.75,1,1
46.31074606433949,0,1,7,4,4,2
51.997262149212865,1,0,NA,3.375,2,4
63.62765229295003,1,1,3,5.285714285714286,4.571428571428571,4
33.91649555099247,0,1,4,7,4.285714285714286,1
37.56605065023956,0,1,7,4.5,1.2857142857142858,7
42.13552361396304,0,1,7,6.75,3.5714285714285716,7
66.62286105407256,1,0,NA,2,1.1428571428571428,5
57.44832306639288,0,0,NA,5.875,6.428571428571429,3
25.68104038329911,0,0,NA,4,1,1
41.53593429158111,0,1,4,7,4.142857142857143,4
64.39698836413416,1,1,3,6,2,2
39.48528405201917,1,1,7,6.25,7,1
57.06502395619439,0,0,NA,7,7,1
64.17522245037645,1,1,5,5.25,4.714285714285714,6
68.0082135523614,0,1,3,4.25,4.166666666666667,1
40.577686516084874,0,0,NA,7,6.428571428571429,3
60.09582477754962,1,0,NA,6.142857142857143,6.142857142857143,1
25.253935660506503,0,NA,NA,5.75,4,5
34.8911704312115,0,1,5,5.625,6.714285714285714,2
52.087611225188226,0,0,NA,5.375,3.5714285714285716,4
35.885010266940455,0,1,7,7,4.428571428571429,1
50.247775496235455,0,0,NA,5,5.714285714285714,6
40.9637234770705,0,1,7,5.25,7,5
40.43258042436687,0,1,5,7,5.142857142857143,2
32.2135523613963,0,1,4,5.125,2.142857142857143,3
48.120465434633815,1,0,NA,6.285714285714286,6.428571428571429,2
60.2135523613963,1,1,1,6.625,1.5714285714285714,5
37.83709787816564,0,1,4,7,7,5
52.26283367556468,0,1,1,7,6.142857142857143,1
48.0766598220397,0,0,NA,5.625,3.7142857142857144,2
54.63655030800821,0,1,5,6.625,6.571428571428571,1
34.86652977412731,0,1,7,6,3.142857142857143,1
37.8590006844627,1,0,NA,4,1.1428571428571428,4
48.709103353867214,0,1,7,6.25,7,7
55.403148528405204,1,1,1,5.25,3.2857142857142856,2
30.872005475701574,0,1,4,6.125,5.571428571428571,2
31.874058863791923,1,NA,NA,7,6.857142857142857,1
